

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
070.333  000.022  000.022: sourcing /Users/xuwei/.vim/bundle/git-blame.vim/plugin/gitblame.vim
071.430  000.924  000.924: sourcing /Users/xuwei/.vim/bundle/supertab/plugin/supertab.vim
071.629  000.032  000.032: sourcing /Users/xuwei/.vim/bundle/FlyGrep.vim/plugin/FlyGrep.vim
072.079  000.076  000.076: sourcing /Users/xuwei/.vim/bundle/ultisnips/autoload/UltiSnips/map_keys.vim
072.184  000.403  000.327: sourcing /Users/xuwei/.vim/bundle/ultisnips/plugin/UltiSnips.vim
072.379  000.035  000.035: sourcing /Users/xuwei/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
072.692  000.164  000.164: sourcing /Users/xuwei/.vim/bundle/ack.vim/plugin/ack.vim
075.412  002.554  002.554: sourcing /Users/xuwei/.vim/bundle/emmet-vim/plugin/emmet.vim
076.726  000.395  000.395: sourcing /Users/xuwei/.vim/bundle/delimitMate/autoload/delimitMate.vim
079.291  003.646  003.251: sourcing /Users/xuwei/.vim/bundle/delimitMate/plugin/delimitMate.vim
084.256  004.736  004.736: sourcing /Users/xuwei/.vim/bundle/nerdcommenter/plugin/NERD_commenter.vim
085.087  000.581  000.581: sourcing /Users/xuwei/.vim/bundle/vim-surround/plugin/surround.vim
085.354  000.083  000.083: sourcing /Users/xuwei/.vim/bundle/vim-trailing-whitespace/plugin/trailing-whitespace.vim
085.732  000.216  000.216: sourcing /Users/xuwei/.vim/bundle/vim-easy-align/plugin/easy_align.vim
092.436  006.535  006.535: sourcing /Users/xuwei/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
093.386  000.732  000.732: sourcing /Users/xuwei/.vim/bundle/quick-scope/plugin/quick_scope.vim
094.114  000.556  000.556: sourcing /Users/xuwei/.vim/bundle/matchit.zip/plugin/matchit.vim
094.709  000.133  000.133: sourcing /Users/xuwei/.vim/bundle/vim-signature/autoload/signature/utils.vim
095.806  001.524  001.391: sourcing /Users/xuwei/.vim/bundle/vim-signature/plugin/signature.vim
096.123  000.142  000.142: sourcing /Users/xuwei/.vim/bundle/vim-expand-region/plugin/expand_region.vim
096.583  000.293  000.293: sourcing /Users/xuwei/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
097.398  000.211  000.211: sourcing /Users/xuwei/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
097.576  000.831  000.620: sourcing /Users/xuwei/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
097.830  000.037  000.037: sourcing /Users/xuwei/.vim/bundle/ctrlp-funky/plugin/funky.vim
098.553  000.194  000.194: sourcing /Users/xuwei/.vim/bundle/ctrlsf.vim/autoload/ctrlsf/backend.vim
099.196  001.212  001.018: sourcing /Users/xuwei/.vim/bundle/ctrlsf.vim/plugin/ctrlsf.vim
099.490  000.107  000.107: sourcing /Users/xuwei/.vim/bundle/vim-quickrun/plugin/quickrun.vim
101.272  001.607  001.607: sourcing /Users/xuwei/.vim/bundle/vim-fugitive/plugin/fugitive.vim
102.197  000.163  000.163: sourcing /Users/xuwei/.vim/bundle/vim-gitgutter/autoload/gitgutter/utility.vim
102.953  000.149  000.149: sourcing /Users/xuwei/.vim/bundle/vim-gitgutter/autoload/gitgutter/highlight.vim
103.815  002.372  002.060: sourcing /Users/xuwei/.vim/bundle/vim-gitgutter/plugin/gitgutter.vim
104.014  000.042  000.042: sourcing /Users/xuwei/.vim/bundle/gundo.vim/plugin/gundo.vim
